Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_21_87,VGND,li1,45.7700,70.7200,0.000006
FILLER_21_78,VGND,li1,42.0900,70.7200,0.000005
FILLER_21_70,VGND,li1,39.5600,70.7200,0.000005
FILLER_21_44,VGND,li1,27.1400,70.7200,0.000002
FILLER_21_39,VGND,li1,23.9200,70.7200,0.000002
FILLER_21_33,VGND,li1,20.9300,70.7200,0.000002
FILLER_21_26,VGND,li1,17.9400,70.7200,0.000002
FILLER_21_13,VGND,li1,11.7300,70.7200,0.000002
FILLER_21_3,VGND,li1,7.1300,70.7200,0.000002
FILLER_20_165,VGND,li1,81.6500,65.2800,0.000212
FILLER_20_161,VGND,li1,80.5000,65.2800,0.000206
FILLER_20_149,VGND,li1,76.8200,65.2800,0.000195
FILLER_20_132,VGND,li1,66.4700,65.2800,0.000161
FILLER_20_128,VGND,li1,65.3200,65.2800,0.000161
FILLER_20_109,VGND,li1,57.5000,65.2800,0.000137
FILLER_20_90,VGND,li1,47.1500,65.2800,0.000104
FILLER_20_74,VGND,li1,40.2500,65.2800,0.000079
FILLER_20_62,VGND,li1,36.8000,65.2800,0.000071
FILLER_20_50,VGND,li1,28.9800,65.2800,0.000045
FILLER_20_38,VGND,li1,25.7600,65.2800,0.000037
FILLER_20_20,VGND,li1,16.5600,65.2800,0.000031
FILLER_20_13,VGND,li1,11.7300,65.2800,0.000031
FILLER_20_7,VGND,li1,10.1200,65.2800,0.000031
FILLER_19_180,VGND,li1,88.7800,65.2800,0.000227
FILLER_19_164,VGND,li1,81.8800,65.2800,0.000212
FILLER_19_141,VGND,li1,70.6100,65.2800,0.000176
FILLER_19_136,VGND,li1,68.3100,65.2800,0.000171
FILLER_19_125,VGND,li1,63.2500,65.2800,0.000155
FILLER_19_113,VGND,li1,60.2600,65.2800,0.000145
FILLER_19_111,VGND,li1,56.8100,65.2800,0.000131
FILLER_19_107,VGND,li1,55.6600,65.2800,0.000131
FILLER_19_89,VGND,li1,49.2200,65.2800,0.000110
FILLER_19_80,VGND,li1,42.5500,65.2800,0.000087
FILLER_19_69,VGND,li1,39.1000,65.2800,0.000079
FILLER_19_57,VGND,li1,32.2000,65.2800,0.000053
FILLER_19_53,VGND,li1,30.5900,65.2800,0.000053
FILLER_19_45,VGND,li1,28.0600,65.2800,0.000045
FILLER_19_25,VGND,li1,19.7800,65.2800,0.000031
FILLER_19_15,VGND,li1,13.8000,65.2800,0.000031
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000031
FILLER_18_185,VGND,li1,90.8500,59.8400,0.000043
FILLER_18_141,VGND,li1,71.0700,59.8400,0.000034
FILLER_18_139,VGND,li1,69.6900,59.8400,0.000034
FILLER_18_131,VGND,li1,67.6200,59.8400,0.000033
FILLER_18_106,VGND,li1,54.5100,59.8400,0.000025
FILLER_18_98,VGND,li1,52.4400,59.8400,0.000024
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000018
FILLER_18_79,VGND,li1,42.7800,59.8400,0.000018
FILLER_18_52,VGND,li1,30.1300,59.8400,0.000010
FILLER_18_44,VGND,li1,27.6000,59.8400,0.000009
FILLER_18_25,VGND,li1,17.7100,59.8400,0.000006
FILLER_18_17,VGND,li1,15.1800,59.8400,0.000006
FILLER_18_3,VGND,li1,8.7400,59.8400,0.000006
FILLER_17_182,VGND,li1,90.1600,59.8400,0.000043
FILLER_17_165,VGND,li1,82.1100,59.8400,0.000041
FILLER_17_157,VGND,li1,78.2000,59.8400,0.000039
FILLER_17_150,VGND,li1,75.2100,59.8400,0.000037
FILLER_17_138,VGND,li1,71.7600,59.8400,0.000035
FILLER_17_125,VGND,li1,63.2500,59.8400,0.000030
FILLER_17_117,VGND,li1,61.1800,59.8400,0.000029
FILLER_17_109,VGND,li1,56.3500,59.8400,0.000026
FILLER_17_101,VGND,li1,53.8200,59.8400,0.000024
FILLER_17_91,VGND,li1,48.0700,59.8400,0.000021
FILLER_17_83,VGND,li1,45.5400,59.8400,0.000019
FILLER_17_71,VGND,li1,40.9400,59.8400,0.000016
FILLER_17_61,VGND,li1,34.0400,59.8400,0.000012
FILLER_17_54,VGND,li1,30.8200,59.8400,0.000010
FILLER_17_38,VGND,li1,23.4600,59.8400,0.000006
FILLER_17_29,VGND,li1,19.5500,59.8400,0.000006
FILLER_17_21,VGND,li1,17.0200,59.8400,0.000006
FILLER_17_3,VGND,li1,7.1300,59.8400,0.000006
FILLER_16_160,VGND,li1,79.5800,54.4000,0.000037
FILLER_16_152,VGND,li1,76.3600,54.4000,0.000036
FILLER_16_141,VGND,li1,70.6100,54.4000,0.000032
FILLER_16_138,VGND,li1,69.4600,54.4000,0.000031
FILLER_16_116,VGND,li1,61.6400,54.4000,0.000027
FILLER_16_104,VGND,li1,56.1200,54.4000,0.000024
FILLER_16_96,VGND,li1,49.9100,54.4000,0.000020
FILLER_16_92,VGND,li1,48.7600,54.4000,0.000020
FILLER_16_75,VGND,li1,40.2500,54.4000,0.000014
FILLER_16_61,VGND,li1,34.0400,54.4000,0.000011
FILLER_16_53,VGND,li1,31.7400,54.4000,0.000009
FILLER_16_41,VGND,li1,27.1400,54.4000,0.000007
FILLER_16_35,VGND,li1,21.8500,54.4000,0.000006
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000006
FILLER_16_19,VGND,li1,16.1000,54.4000,0.000006
FILLER_16_7,VGND,li1,9.2000,54.4000,0.000006
FILLER_15_165,VGND,li1,82.1100,54.4000,0.000039
FILLER_15_144,VGND,li1,72.6800,54.4000,0.000034
FILLER_15_138,VGND,li1,69.2300,54.4000,0.000031
FILLER_15_134,VGND,li1,68.0800,54.4000,0.000031
FILLER_15_122,VGND,li1,64.4000,54.4000,0.000029
FILLER_15_113,VGND,li1,57.7300,54.4000,0.000024
FILLER_15_109,VGND,li1,56.3500,54.4000,0.000024
FILLER_15_97,VGND,li1,52.9000,54.4000,0.000022
FILLER_15_85,VGND,li1,47.3800,54.4000,0.000018
FILLER_15_65,VGND,li1,37.2600,54.4000,0.000012
FILLER_15_52,VGND,li1,30.3600,54.4000,0.000009
FILLER_15_38,VGND,li1,23.6900,54.4000,0.000006
FILLER_15_23,VGND,li1,16.3300,54.4000,0.000006
FILLER_15_15,VGND,li1,14.2600,54.4000,0.000006
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000006
FILLER_14_184,VGND,li1,90.6200,48.9600,0.000000
FILLER_14_160,VGND,li1,79.5800,48.9600,0.000000
FILLER_14_153,VGND,li1,76.3600,48.9600,0.000000
FILLER_14_141,VGND,li1,73.1400,48.9600,0.000000
FILLER_14_139,VGND,li1,69.6900,48.9600,0.000000
FILLER_14_133,VGND,li1,68.0800,48.9600,0.000000
FILLER_14_121,VGND,li1,63.9400,48.9600,0.000000
FILLER_14_114,VGND,li1,58.8800,48.9600,0.000000
FILLER_14_108,VGND,li1,55.8900,48.9600,0.000000
FILLER_14_89,VGND,li1,46.6900,48.9600,0.000000
FILLER_14_85,VGND,li1,45.5400,48.9600,0.000000
FILLER_14_80,VGND,li1,43.2400,48.9600,0.000000
FILLER_14_73,VGND,li1,39.3300,48.9600,0.000000
FILLER_14_44,VGND,li1,26.4500,48.9600,0.000000
FILLER_14_36,VGND,li1,23.9200,48.9600,0.000000
